Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 3,2,SnD,Tuscan,FaZe,6,Rokkr,5,FaZe,,2,Major,Thieves,2,OpTic,3,OpTic,,11,Rokkr,2,6,25.00%,14,18,43.75%,20,,,,,,,,,
1,Wk 3,3,Control,Tuscan,FaZe,3,Rokkr,1,FaZe,,2,Major,Mutineers,2,Breach,3,Breach,,12,Legion,1,4,20.00%,8,14,36.36%,10,,,,,,,,,
1,Wk 3,1,Hardpoint,Bocage,Ultra,184,OpTic,197,OpTic,,2,Major,FaZe,3,Surge,2,FaZe,,,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Tuscan,Ultra,2,OpTic,6,OpTic,,2,Major,OpTic,1,Mutineers,3,Mutineers,,CDL CHAMPS 2022,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Tuscan,Ultra,1,OpTic,3,OpTic,,2,Major,Guerrillas,3,Surge,2,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Bocage,Surge,200,Mutineers,250,Mutineers,,2,Major,Breach,0,FaZe,3,FaZe,,Place,Team,,,,,Winnings,,,,,,,,,,,
1,Wk 3,2,SnD,Berlin,Surge,1,Mutineers,6,Mutineers,,2,Major,Mutineers,2,Guerrillas,3,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Tuscan,Surge,1,Mutineers,3,Mutineers,,2,Major,Breach,2,Guerrillas,3,Guerrillas,,1,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Bocage,Subliners,181,Breach,250,Breach,,2,Major,FaZe,5,Guerrillas,2,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Tuscan,Subliners,6,Breach,5,Subliners,,3,Wk 1,Thieves,3,Royal Ravens,0,Thieves,,2,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Gavutu,Subliners,3,Breach,2,Subliners,,3,Wk 1,OpTic,3,Guerrillas,0,OpTic,,,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Tuscan,Subliners,198,Breach,250,Breach,,3,Wk 1,Subliners,1,FaZe,3,FaZe,,3,,,,,,,,,,,,,,,,,
1,Wk 3,5,SnD,Bocage,Subliners,6,Breach,4,Subliners,,3,Wk 1,Legion,2,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Bocage,Rokkr,241,Guerrillas,250,Guerrillas,,3,Wk 1,Surge,2,Ultra,3,Ultra,,4,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Berlin,Rokkr,6,Guerrillas,4,Rokkr,,3,Wk 1,OpTic,3,Mutineers,0,OpTic,,,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Gavutu,Rokkr,2,Guerrillas,3,Guerrillas,,3,Wk 1,Rokkr,3,Guerrillas,0,Rokkr,,5/6,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Berlin,Rokkr,250,Guerrillas,203,Rokkr,,3,Wk 1,Surge,3,Legion,1,Surge,,,,,,,,,,,,,,,,,,,
1,Wk 3,5,SnD,Bocage,Rokkr,6,Guerrillas,2,Rokkr,,3,Wk 1,Thieves,0,Rokkr,3,Rokkr,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Bocage,Thieves,109,Ultra,250,Ultra,,3,Wk 1,Subliners,3,Breach,1,Subliners,,,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Tuscan,Thieves,6,Ultra,4,Thieves,,3,Wk 2,Breach,3,Royal Ravens,1,Breach,,7/8,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Tuscan,Thieves,3,Ultra,2,Thieves,,3,Wk 2,Rokkr,3,Ultra,2,Rokkr,,,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Tuscan,Thieves,250,Ultra,215,Thieves,,3,Wk 2,Mutineers,3,Guerrillas,1,Mutineers,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Tuscan,Royal Ravens,250,Surge,199,Royal Ravens,,3,Wk 2,Legion,0,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Berlin,Royal Ravens,1,Surge,6,Surge,,3,Wk 2,Thieves,0,Surge,3,Surge,,,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Gavutu,Royal Ravens,3,Surge,2,Royal Ravens,,3,Wk 2,Rokkr,3,Mutineers,1,Rokkr,,,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Gavutu,Royal Ravens,250,Surge,141,Royal Ravens,,3,Wk 2,Breach,0,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Gavutu,Breach,250,OpTic,247,Breach,,3,Wk 2,Legion,2,Guerrillas,3,Guerrillas,,,,,,,,,,,,,,,,,,,
